Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Analista de automação,Markdata Technologies,"São Paulo, Brasil",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-at-markdata-technologies-4324732517?position=19&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=ZZg11twbU8dH7n%2Fh9jRx7w%3D%3D
Estágio Produtos e Serviços - Flamengo (RJ),B. Braun Group,"Rio de Janeiro, RJ",Há 5 dias,https://br.linkedin.com/jobs/view/est%C3%A1gio-produtos-e-servi%C3%A7os-flamengo-rj-at-b-braun-group-4308594490?position=20&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=y6yT2Udx%2By5giShpAic3sg%3D%3D
ANALISTA DE INOVAÇÃO,ROI Contabilidade,"Itajaí, SC",Há 22 horas,https://br.linkedin.com/jobs/view/analista-de-inova%C3%A7%C3%A3o-at-roi-contabilidade-4333172242?position=21&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=U9txx1D40BmK7ilu3EwSxw%3D%3D
Cientista de dados,Grupo Renova,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/cientista-de-dados-at-grupo-renova-4318093377?position=22&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=4WKY9C%2BO4SJOSn5lBvPvew%3D%3D
Analista QA III (Sênior),CSP Tech,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/analista-qa-iii-s%C3%AAnior-at-csp-tech-4318817525?position=23&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=YZy0DDmTGWQvqlaVqCR3oQ%3D%3D
CONSULTOR(A) CIENTISTA DADOS II,Suzano,"Jacareí, SP",Há 2 dias,https://br.linkedin.com/jobs/view/consultor-a-cientista-dados-ii-at-suzano-4332701066?position=24&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=07F0aDpns5xBEMTPJ7%2Bq5g%3D%3D
Analista de Automação Sênior,byx,"São Paulo, SP",Há 23 horas,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-s%C3%AAnior-at-byx-4319661024?position=25&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=ppHRBv2xymLkGpOZYsI3lA%3D%3D
Analista de BI Júnior (Financeiro),Rede Américas,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-bi-j%C3%BAnior-financeiro-at-rede-am%C3%A9ricas-4319389005?position=26&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=ykqDswYKxMFgpx4ctzHong%3D%3D
Analista de Operações e Automação – Asset Management,Fact Invest,"São Paulo, SP",Há 7 horas,https://br.linkedin.com/jobs/view/analista-de-opera%C3%A7%C3%B5es-e-automa%C3%A7%C3%A3o-%E2%80%93-asset-management-at-fact-invest-4331453615?position=27&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=kNwOFAWbq5IhjND2iSe4Vg%3D%3D
Estagiário em Automação e IA (TI/Telecom),Elite Master Soluções Corporativas,"Governador Valadares, MG",Há 1 dia,https://br.linkedin.com/jobs/view/estagi%C3%A1rio-em-automa%C3%A7%C3%A3o-e-ia-ti-telecom-at-elite-master-solu%C3%A7%C3%B5es-corporativas-4324747025?position=28&pageNum=0&refId=JDmEwEkf8G330%2BNOSvE11Q%3D%3D&trackingId=A0bGQ58e8XduMSx5PhmTEg%3D%3D
