Nome da Vaga,Nome da Empresa,Local da Vaga,Foi postada a:,Link da vaga:
Analista de Qualidade de Software III,Meta,Brasil,Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-qualidade-de-software-iii-at-meta-4324728406?position=19&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=Rv%2FOCPabUTNYcKU27t%2B%2BLA%3D%3D
QA Automation Engineer,Inventive AI,Brasil,Há 1 dia,https://br.linkedin.com/jobs/view/qa-automation-engineer-at-inventive-ai-4319493371?position=20&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=jp6fSHbudI4mmkKPaJXEmw%3D%3D
Quality Assurance Test Analyst,Tata Consultancy Services,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/quality-assurance-test-analyst-at-tata-consultancy-services-4331175663?position=21&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=0tjhE5hrqy84ycgT2fpCzQ%3D%3D
QA Engineer (Remote - Latam),Jobgether,Brasil,Há 6 dias,https://br.linkedin.com/jobs/view/qa-engineer-remote-latam-at-jobgether-4316742615?position=22&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=EZ8jNNQxE49SX1IunbkVuA%3D%3D
Analista de QA,Tata Consultancy Services,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-qa-at-tata-consultancy-services-4331199473?position=23&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=G2IkMuyOnKWO4oRiMOcW%2Fw%3D%3D
QA Engineer - Work from home,Nearsure,Belo Horizonte e Região,Há 4 horas,https://br.linkedin.com/jobs/view/qa-engineer-work-from-home-at-nearsure-4320063719?position=24&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=15jXSGODBD3Tit5TQ4d%2FCA%3D%3D
Quality Assurance Test Analyst,Tata Consultancy Services,"São Paulo, Brasil",Há 9 horas,https://br.linkedin.com/jobs/view/quality-assurance-test-analyst-at-tata-consultancy-services-4333067217?position=25&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=kA3OoGJv%2Fn21e3BaUSdCfg%3D%3D
Test Analyst,Tata Consultancy Services,"São Paulo, Brasil",Há 3 dias,https://br.linkedin.com/jobs/view/test-analyst-at-tata-consultancy-services-4332099918?position=26&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=NrqTJ20bm8LTewFsbfh7gQ%3D%3D
ANALISTA DE QUALIDADE DE SOFTWARE (QA),Eucard,"Campinas, SP",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-qualidade-de-software-qa-at-eucard-4332852893?position=27&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=CCuFoHmsYT3wrcqSFmooWg%3D%3D
Software Quality Analyst,Tata Consultancy Services,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/software-quality-analyst-at-tata-consultancy-services-4332072348?position=28&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=pd%2BphK%2FM1BJvMvAOwqctvw%3D%3D
Sr. Quality Assurance Engineer,"Sky Systems, Inc. (SkySys)",Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/sr-quality-assurance-engineer-at-sky-systems-inc-skysys-4332322301?position=29&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=Dvm4DrWgas0UIcS1d%2Fp75A%3D%3D
Analista de QA Pleno,Idea Maker,"São Paulo, SP",Há 6 horas,https://br.linkedin.com/jobs/view/analista-de-qa-pleno-at-idea-maker-4331454790?position=30&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=85NUH8%2FFEmFVfLG%2BVlibNw%3D%3D
Analista de QA,Tata Consultancy Services,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-qa-at-tata-consultancy-services-4331194416?position=31&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=9jonQX7zTCYlBNpzpjK1Cw%3D%3D
QA Analyst Mid-Level,Tata Consultancy Services,São Paulo e Região,Há 6 dias,https://br.linkedin.com/jobs/view/qa-analyst-mid-level-at-tata-consultancy-services-4331313369?position=32&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=gZHVNn0caxUbcK5YYCz8Ig%3D%3D
Software Quality Analyst,Tata Consultancy Services,"São Paulo, Brasil",Há 2 dias,https://br.linkedin.com/jobs/view/software-quality-analyst-at-tata-consultancy-services-4332466394?position=33&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=Il8THEdgNlvanOUCRQf2%2Bg%3D%3D
Analista de Automação de Teste,Prime Control,"Campinas, SP",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-de-teste-at-prime-control-4332336881?position=34&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=y0bmw1T0W0NUbCZCQpgR2w%3D%3D
Quality Assurance Engineer,Kadince,Brasil,Há 1 hora,https://br.linkedin.com/jobs/view/quality-assurance-engineer-at-kadince-4331476947?position=35&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=yw4pq3FjkahqRqzfMkFvrw%3D%3D
Mid-Level - QA Automação - Brazil,CI&T,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/mid-level-qa-automa%C3%A7%C3%A3o-brazil-at-ci-t-4299159606?position=36&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=B35dyRgOAttDDrnAsrow6g%3D%3D
Analista de Teste Pleno,NDD Tech | Brasil,"Lages, SC",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-teste-pleno-at-ndd-tech-brasil-4319483031?position=37&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=y2NFFW7UVJO2QjZu3ZdaIw%3D%3D
Senior Quality Assurance Engineer - São Paulo (Contract),First Help Financial,"São Paulo, SP",Há 10 horas,https://br.linkedin.com/jobs/view/senior-quality-assurance-engineer-s%C3%A3o-paulo-contract-at-first-help-financial-4333166999?position=38&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=g7A7n1g69VMyc8qOpgo3dQ%3D%3D
Senior Software Test Engineer (Remote - Latam),Jobgether,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/senior-software-test-engineer-remote-latam-at-jobgether-4317297079?position=39&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=B7je%2F9WQrwHSFtpQE5rRlA%3D%3D
Software Test Engineer - Work from home,Nearsure,São Paulo e Região,Há 4 horas,https://br.linkedin.com/jobs/view/software-test-engineer-work-from-home-at-nearsure-4320053699?position=40&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=5ulUnwoZ%2FvbIhkHQbO43Pw%3D%3D
Analista de teste/QA,Preço Justo,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-teste-qa-at-pre%C3%A7o-justo-4324725571?position=41&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=1YIDMjHJEc6C3yGqn86QEw%3D%3D
QA Engineer (Fixed-Term Contract),Jobgether,Brasil,Há 6 dias,https://br.linkedin.com/jobs/view/qa-engineer-fixed-term-contract-at-jobgether-4316733644?position=42&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=XFD8NkHM5JF4N7R%2FIX9y6g%3D%3D
Quality Assurance Specialist,Tata Consultancy Services,"São Paulo, Brasil",Há 1 dia,https://br.linkedin.com/jobs/view/quality-assurance-specialist-at-tata-consultancy-services-4295921948?position=43&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=hG4WDnu5xiGnXmxiXe0%2Bkw%3D%3D
Analista de Testes de Software,innolevels,São Paulo e Região,Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-testes-de-software-at-innolevels-4319562591?position=44&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=jFeTw%2FIG7YLhTgSMq8Okhw%3D%3D
Analista de QA Pleno – Automação com Playwright,VILT,Brasil,Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-qa-pleno-%E2%80%93-automa%C3%A7%C3%A3o-com-playwright-at-vilt-4332731357?position=45&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=SkpK2QrMPpA4Za7i40DeQA%3D%3D
QA Automatizador Sênior,Foursys,Brasil,Há 6 dias,https://br.linkedin.com/jobs/view/qa-automatizador-s%C3%AAnior-at-foursys-4331309950?position=46&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=HAgDHu5ykE9u0NRZyl9BqA%3D%3D
Automation Test Analyst,Tata Consultancy Services,Brasil,Há 2 dias,https://br.linkedin.com/jobs/view/automation-test-analyst-at-tata-consultancy-services-4332301320?position=47&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=vvyls0ZMSZO5N5BcWw%2FctQ%3D%3D
Analista de qualidade sênior,CBYK Consultoria,"São Paulo, Brasil",Há 1 dia,https://br.linkedin.com/jobs/view/analista-de-qualidade-s%C3%AAnior-at-cbyk-consultoria-4324742985?position=48&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=gVrv8a1BxeAjUwsR1oc9rA%3D%3D
QA Engineer - Brazil,Housecall Pro,Brasil,Há 21 horas,https://br.linkedin.com/jobs/view/qa-engineer-brazil-at-housecall-pro-4333053509?position=49&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=ijfa2ie%2Bwr16StcLn8ELOw%3D%3D
Analista QA - Remoto (Inglês Fluente),Getronics,Brasil,Há 3 horas,https://br.linkedin.com/jobs/view/analista-qa-remoto-ingl%C3%AAs-fluente-at-getronics-4293619211?position=50&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=AIafZ9VY6IkvXpqgm6dw0Q%3D%3D
Analista QA Pleno e Sênior,Stefanini Brasil,Brasil,Há 5 dias,https://br.linkedin.com/jobs/view/analista-qa-pleno-e-s%C3%AAnior-at-stefanini-brasil-4264266119?position=51&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=NYmrzQqkKswaoxp0p4aIjA%3D%3D
Engenheiro de Software Júnior,Digisystem,"Brasília, DF",Há 10 horas,https://br.linkedin.com/jobs/view/engenheiro-de-software-j%C3%BAnior-at-digisystem-it-solutions-4333057062?position=52&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=RuZ8L6hBrn27pDT4l9YtiA%3D%3D
Tester de Software (QA) / Pesquisa e Desenvolvimento - Trabalho Remoto,BairesDev,Brasil,Há 2 dias,https://br.linkedin.com/jobs/view/tester-de-software-qa-pesquisa-e-desenvolvimento-trabalho-remoto-at-bairesdev-4319229171?position=53&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=PrCIJ6EMww%2FXb7WAIQEWsQ%3D%3D
QA Automatizador,4DF Connect,"São Paulo, SP",Há 1 dia,https://br.linkedin.com/jobs/view/qa-automatizador-at-4df-connect-4333130236?position=54&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=RPUxndc0yYxOXcZNE8zmHA%3D%3D
[Tecnologia] Analista de Qualidade de Software Pleno - Experiência do Cliente,Contabilizei,Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/tecnologia-analista-de-qualidade-de-software-pleno-experi%C3%AAncia-do-cliente-at-contabilizei-4332309927?position=55&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=PoQWgwSSTc%2FLis9sQz85xg%3D%3D
Analista de Testes Pleno,Evolutix Intelligent Living,"São Paulo, Brasil",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-testes-pleno-at-evolutix-intelligent-living-4332723894?position=56&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=7Ik5R77Dr%2FNTG7Wqe3cQUg%3D%3D
[Tecnologia] Analista de Qualidade de Software Pleno - Aquisição,Contabilizei,Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/tecnologia-analista-de-qualidade-de-software-pleno-aquisi%C3%A7%C3%A3o-at-contabilizei-4332317864?position=57&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=YLzs1mnNcCoh57%2BUn3J5lw%3D%3D
Software Test Engineer - Work from home,Nearsure,Rio de Janeiro e Região,Há 4 horas,https://br.linkedin.com/jobs/view/software-test-engineer-work-from-home-at-nearsure-4319903970?position=58&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=0xTYv5bhgH775DLmhyuH%2Bg%3D%3D
QA Engineer – AI-Powered Test Automation - Remote,Animati PACS | RIS | Workstation,Brasil,Há 6 dias,https://br.linkedin.com/jobs/view/qa-engineer-%E2%80%93-ai-powered-test-automation-remote-at-animati-pacs-ris-workstation-4317237198?position=59&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=UpINVLw39LBnC8%2BNPvB2Mw%3D%3D
Analista de Testes Automatizados Pleno - SP,innolevels,São Paulo e Região,Há 20 horas,https://br.linkedin.com/jobs/view/analista-de-testes-automatizados-pleno-sp-at-innolevels-4324777886?position=60&pageNum=0&refId=Dq52VU70QCxAknbwL%2FGyCQ%3D%3D&trackingId=gkApwKvUaDE5rtuq0g1k1w%3D%3D
Test Analyst,Tata Consultancy Services,"São Paulo, Brasil",Há 3 dias,https://br.linkedin.com/jobs/view/test-analyst-at-tata-consultancy-services-4332099918?position=1&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=lB1OYzLBVYYg682hNwdndQ%3D%3D
ANALISTA DE QUALIDADE DE SOFTWARE (QA),Eucard,"Campinas, SP",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-qualidade-de-software-qa-at-eucard-4332852893?position=2&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=Z5nGfwIgM467LLVlBaSDfg%3D%3D
Software Quality Analyst,Tata Consultancy Services,"São Paulo, SP",Há 3 dias,https://br.linkedin.com/jobs/view/software-quality-analyst-at-tata-consultancy-services-4332072348?position=3&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=JwgmenkVzxxKiUR%2BsV3jvw%3D%3D
Sr. Quality Assurance Engineer,"Sky Systems, Inc. (SkySys)",Brasil,Há 3 dias,https://br.linkedin.com/jobs/view/sr-quality-assurance-engineer-at-sky-systems-inc-skysys-4332322301?position=4&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=cgU9l7dbQ62ch00jzcv4mw%3D%3D
Analista de QA Pleno,Idea Maker,"São Paulo, SP",Há 6 horas,https://br.linkedin.com/jobs/view/analista-de-qa-pleno-at-idea-maker-4331454790?position=5&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=93h4C0UFbPcFk%2BMq0SiE9A%3D%3D
Analista de QA,Tata Consultancy Services,"São Paulo, SP",Há 6 dias,https://br.linkedin.com/jobs/view/analista-de-qa-at-tata-consultancy-services-4331194416?position=6&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=Z9sYXfeiu4NXTAiD%2FMrRrw%3D%3D
QA Analyst Mid-Level,Tata Consultancy Services,São Paulo e Região,Há 6 dias,https://br.linkedin.com/jobs/view/qa-analyst-mid-level-at-tata-consultancy-services-4331313369?position=7&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=p3SH4aqJBcJ6RBBSkK1KrQ%3D%3D
Software Quality Analyst,Tata Consultancy Services,"São Paulo, Brasil",Há 2 dias,https://br.linkedin.com/jobs/view/software-quality-analyst-at-tata-consultancy-services-4332466394?position=8&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=%2BqdyIKPhkXC%2FJLwhXMWS9w%3D%3D
Analista de Automação de Teste,Prime Control,"Campinas, SP",Há 2 dias,https://br.linkedin.com/jobs/view/analista-de-automa%C3%A7%C3%A3o-de-teste-at-prime-control-4332336881?position=9&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=2zyP3EBO34mQnXXpmTVrtw%3D%3D
Quality Assurance Engineer,Kadince,Brasil,Há 1 hora,https://br.linkedin.com/jobs/view/quality-assurance-engineer-at-kadince-4331476947?position=10&pageNum=2&refId=MIykZWpfQk1%2BVY9qmSpLEA%3D%3D&trackingId=C8AhHznrKepW2xL46uWRbA%3D%3D
